MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Ashokrao Kondiram Mane,1900-03-10,Hatkanangle,Male,Jan Surajya Shakti,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Dalitmitra Dr.Ashokrao Mane(Bapu.jpg
Ashutosh Ashokrao Kale,1900-02-08,Kopargaon,Male,Nationalist Congress Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Ashutosh Ashokrao Kale.jpg
Aslam Ramjanali Shaikh,1900-02-24,Malad West,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Aslam Ramjanali Shaikh.jpg
Atram Dharamraobaba Bhagwantrao,1900-03-11,Aheri,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Atram Dharamraobaba Bhagwantrao.jpg
Atul Bhatkhalkar,1900-02-28,Kandivali East,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Atul Bhatkhalkar.jpg
Atul Moreshwar Save,1900-03-02,Aurangabad East,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Atul Moreshwar Save.jpg
Atulbaba Suresh Bhosale,1900-02-10,Karad South,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Atulbaba Suresh Bhosale.jpg
Babaji Ramchandra Kale,1900-02-23,Khed Alandi,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Babaji Ramchandra Kale.jpg
Babanrao Dattatray Yadav (Lonikar),1900-03-05,Partur,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Babanrao Dattatray Yadav (Lonikar).jpg
Babasaheb Annasaheb Deshmukh,1900-02-06,Sangole,Male,Peasants And Workers Party Of India,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Babasaheb Annasaheb Deshmukh.jpg
Babasaheb Mohanrao Patil,1900-03-05,Ahmadpur,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Babasaheb Mohanrao Patil.jpg
